英日TAT200,,,,,,,,,
Danh từ,Động từ,Trợ động từ,Tính từ,Trợ từ,Tiền tố,Từ nối,Thục ngữ,,
forest,森,Danh từ,Nature,He came to the west side of the forest.,彼は、森の西側に来た。,,,,
friendly,優しい,Tính từ,Relationship,Everyone was very friendly with me.,誰でも、私と非常に親しかったです。,,,,
get along,仲良くする、気が合う,Động từ,Relationship,You should get along well with all people in your company.,あなたは、会社で人と仲良くすべきです。,,,,
get-together,一緒になる、合わせる,Động từ,Relationship,We will get-together at Chrismas.,私たちはクリスマスの時に集まります。,,,,
gloves,手袋,Danh từ,Clothing,He drew his gloves off an hour ago.,彼は一時間前に手袋を脱いだ。,,,,
glow,輝く,Động từ,Weather,a pleasant glow after a hot bath,ふろのあとの気持ちよいぬくもり,,,,
greet,挨拶する,Động từ,Daily Routines,You had better greet in a friendly way if you want to have many friends.,たくさん友達が欲しいなら愛想よく挨拶した方がよい。,,,,
greeting,挨拶,Danh từ,Daily Routines,a greeting card,挨拶カード,,,,
hail,あられ（ひょう）が降る,Động từ,Weather,a hail of pebbles,小石の雨,,,,
Halloween,ハロウィン,Danh từ,Culture,We dressed up for Halloween as pumpkins.,私たちはハロウィンのためにかぼちゃとして仮装した。,,,,
harvest,～を収穫する,Động từ,Nature,harvest crops,作物を刈り入れる,,,,
high-performance,高性能な,Tính từ,TAT200,a high-performance aircraft,優秀な飛行機,,,,
hire,雇う,Động từ,Office,Please hire me at this company.,私をこの会社で雇って下さい。,,,,
housework,家事,Danh từ,Daily Routines,I cannot do housework efficiently.,彼は効率的に家事ができない。,,,,
hug,～を抱く,Động từ,Culture,I want to hug her.,私は彼女を抱きたい。,,,,
in charge of,担任,Thục ngữ,Office,I'm in charge of engineering.,私は技術担当です。,,,,
institution,しきたり,Danh từ,Culture,an institution provided by a king,王の定めたしきたり,,,,
interface,共通領域、インターフェース,Danh từ,TAT200,the interface between A and B,AとBとのインタフェース,,,,
introduce,～を紹介する,Động từ,Relationship,Jame want to meet  new people so I plan to introduce him to some friends.,Jameは新しい人々に会いたいので、私は彼を一部の友人に紹介する予定です。,,,,
invite,招待する,Động từ,Relationship,Do you plan to invite many people to your party?,あなたは、多くの人々をあなたのパーティーに招待する予定ですか?,,,,
jogging,ジョギング,Danh từ,Daily Routines,Let's be jogging!,そろそろ出かけよう!,,,,
journey,旅行,Danh từ,Travel,to accomplish a journey,旅行を終える,,,,
Jupiter,木星,Danh từ,Nature,The Jupiter is a one of planets.,木星は惑星のうちの一つである。,,,,
kin,血縁,Danh từ,Relationship,He's not kin to me.,彼は私の親類ではない。,,,,
kiss,キスをする,Động từ,Culture,I want to kiss your cheek.,あなたの頬にキスしたい。,,,,
laboratory,実験室、研究室,Tính từ,TAT200,a seismological laboratory,地震研究所,,,,
lengthwise,縦に,Trợ từ,Direction,He cut the paper lengthwise.,彼は、縦に新聞を切った,,,,
luggage,荷物,Danh từ,Travel,three pieces of luggage,3個の手荷物,,,,
lunch,昼食,Danh từ,Daily Routines,a frugal lunch,つましい昼食,,,,
make-up,化粧,Danh từ,Daily Routines,I'm bad with make-up.,私は化粧が苦手です。,,,,
married,結婚している,Tính từ,Relationship,Reachel and John are getting married on Saturday.,ReachelとJohnは、土曜日に結婚する予定です。,,,,
Mars,火星,Danh từ,Nature,Mars has two satellites.,火星には、2つの衛星がある。,,,,
meal,食事,Danh từ,Daily Routines,an atrocious meal,ひどい食事,,,,
meditate,瞑想する,Động từ,Daily Routines,I went to go meditate at the temple.,私は寺に座禅に行った。,,,,
meeting,会議,Danh từ,Office,Take part in the meeting,会議に参加する,,,,
mild,温暖な、穏やかな、のどかな,Tính từ,Weather,It is a mild winter,寒がゆるい。,,,,
momentum,勢い、運動量,Danh từ,TAT200,It has gained momentum.,慣性を得た。,,,,
multivariable,多変数の,Tính từ,TAT200,He practiced multivariable algebra equations by writing them down on paper.,彼は筆算による多変数代数を練習した。,,,,
neighbor,近所の人,Danh từ,Relationship,The next door kitten of neighbor,隣の隣人の子猫,,,,
nephew,関連、密接,Danh từ,Relationship,I have nephew in home town.,私には、故郷で甥がいます。,,,,
neutralization,中和、中立状態,Danh từ,TAT200,neutralization treating vessel of acidic water,酸性水の中和処理槽,,,,
niece,姪,Danh từ,Relationship,The girl is standing here is my niece,ここに立っている女の子は私の姪です。,,,,
north,北,Danh từ,Direction,The counterdirection of the south is the north.,南の反対の方角は北である。,,,,
northern,北の,Tính từ,Direction,the northern hemisphere,北半球,,,,
northernmost,最北(端)の,Tính từ,Direction,The weatherman forecasted that the fog in the northernmost tip of the prefecture should dissipate within a few hours,予報官は、その県の最北端にかかっている霧は数時間以内に晴れると予報した。,,,,
occupation,職業、業務,Danh từ,Office,an illegitimate occupation,不法な仕事,,,,
ocean,海、大洋,Danh từ,Nature,a boundless expanse of ocean,限りなく広がる大洋,,,,
office,会社,Danh từ,Office,an office girl,女子事務員,,,,
optical,視力の、光学の,Tính từ,TAT200,an optical illusion,錯視,,,,
organic,有機の,Tính từ,TAT200,organic chemistry,有機化学,,,,
pants,ズボン,Danh từ,Clothing,You should bring spare pants not to catch a cold.,風邪をひかないように、替えのパンツを持ってきた方がよいよ。,,,,
partner,仲間、協力者,Danh từ,Relationship,She's a partner in the business,彼女は、ビジネスのパートナーです,,,,
passenger,乗客、旅客、船客、搭乗客,Danh từ,Travel,a passenger-ticket,搭乗券,,,,
physical,物理学の、身体の、自然の、物質の,Tính từ,TAT200,a physical checkup,健康診断,,,,
planet,惑星,Danh từ,Nature,Mars is a dead planet.,火星は死んでいる惑星である。,,,,
plant,～を植える,Động từ,Nature,You should plant a tree to protect the forest.,森を守るために植樹するべきだ。,,,,
pond,池,Danh từ,Nature,The famous pond has dried up.,有名な池が干上がった。,,,,
pour,注ぐ、かける,Động từ,Weather,pour the sauce over,たれをつける,,,,
precise,正確な、精密な,Tính từ,TAT200,He is precise to a fault.,彼は、極端に几帳面です。,,,,
president,大統領 、社長,Danh từ,Office,I am the president's secretary.,私は、大統領の秘書です。,,,,
producer,生産者,Danh từ,Office,a producer of raw silk,生糸の生産者,,,,
put on,～を着る,Thục ngữ,Clothing,Do put on your clothes as soon as you can!,早く服を着なさい!,,,,
race,民族,Danh từ,Culture,a race of people called the Hamitic race,ハム族という民族,,,,
railway,鉄道、鉄道線路,Danh từ,Travel,a railway ticket,乗車券,,,,
receptionist,受付係、フロント係.,Danh từ,Office,Please contact the receptionist below for any questions.,お問い合わせは下記窓口までご連絡ください。,,,,
religion,宗教,Danh từ,Culture,an esoteric religion,密教,,,,
representative,代表者、代理者,Danh từ,Office,He is my representative.,彼は私の代理です。,,,,
reserve,予約する,Danh từ,Travel,a reserve fund,予備金,,,,
revere,～を崇拝する,Động từ,Culture,We revere a saint everyday.,毎日、聖人をあがめる.,,,,
rise,起床する,Động từ,Daily Routines,I rise earlier than my mother.,私は母より早起きだ。,,,,
river,河川,Danh từ,Nature,I swam in a river four days ago.,私は4日前、川で泳いだ。,,,,
round-trip,往復,Danh từ,Travel,What's the round-trip fare?,往復切符の料金は?,,,,
salary,給与,Danh từ,Office,I checked how much the basic monthly salary is.,私は月々の基本給がいくらかを確認した。,,,,
Saturn,土星,Danh từ,Nature,What is the largest of the satellites of Saturn?,土星の衛星のうち最大のものは何ですか?,,,,
scorching,猛烈に暑い,Tính từ,Weather,The land baked under the scorching sun.,地面は焼けつくような太陽の下でからからに乾いた。,,,,
sea,海,Danh từ,Nature,We spent our summer vacation at the sea.,私たちは海辺で夏休みを過ごした。,,,,
secretary,秘書、事務官,Danh từ,Office,I'll make him my secretary.,彼を秘書にしよう。,,,,
shave,髭を剃る,Động từ,Daily Routines,I want to have a shave.,顔を剃ってほしい。,,,,
shirt,シャツ,Danh từ,Clothing,He bought new shirts three months ago.,彼は、3か月前に新しいシャツを買った。,,,,
shoes,くつ,Danh từ,Clothing,My favorite shoes was broken yesterday.,昨日、お気に入りのくつが壊れました。,,,,
siesta,シエスタ,Danh từ,Culture,I heard there is a custom in Spain called siesta.,私は、スペインにはシエスタという習慣があると聞いた。,,,,
skirt,スカート,Danh từ,Clothing,Don't flip up a girl's skirt!,スカートめくりをするな!,,,,
slacks,ズボン,Danh từ,Clothing,a pair of slacks,1本のズボン,,,,
sleep,眠る,Động từ,Daily Routines,I don't get enough sleep,寝不足です。,,,,
snowy,雪の降る、雪の多い,Tính từ,Weather,It's going to be snowy.,雪が降るだろう。,,,,
socks,靴下,Danh từ,Clothing,I hate sweaty socks.,私は汗臭い靴下が大嫌いだ。,,,,
south,南,Danh từ,Direction,The counterdirection of the north is the south.,北の反対の方角は南である。,,,,
southern,南の,Tính từ,Direction,the southern hemisphere,南半球,,,,
southernmost,最南(端)の,Tính từ,Direction,The place that we went three years ago is the southernmost tip of the prefecture.,私たちが3年前に行った場所はその県の最南端である。,,,,
spider,クモ,Danh từ,Nature,A spider weaves a web.,クモは巣を張る。,,,,
sports,スポーツ,Danh từ,Culture,a sports enthusiast,スポーツファン,,,,
spouse,配属者、夫婦,Danh từ,Relationship,Fill your spouse's name here.,あなたの配偶者の名前をここに記入してください。,,,,
stockings,靴下、ストッキング,Danh từ,Clothing,Pull on your stockings!,靴下を履きなさい!,,,,
subway,地下鉄,Danh từ,Travel,You should take the subway if you want to go to Tokyo station.,東京駅に行きたいなら、地下鉄に乗った方がよい。,,,,
sunny,日が照る、陽気な、快活な,Tính từ,Weather,It will be sunny tomorrow.,明日は晴れます。,,,,
sunshine,日光,Danh từ,Weather,This room gets sunshine,この部屋は日があたる。,,,,
supervisor,監督者、管理人,Danh từ,Office,Why does the supervisor get mad?,なぜ上司は怒るのか?,,,,
supper,夕食,Danh từ,Daily Routines,Supper is ready.,ご飯ですよ。,,,,
sushi,お寿司,Danh từ,Culture,Edo-style sushi,江戸前寿司,,,,
take off,～を脱ぐ,Thục ngữ,Clothing,You may take off your clothes if you feel hot.,暑かったら、服脱いでもいいよ。,,,,
thunder,雷,Danh từ,Weather,thunder during spring,春の雷,,,,
tie,～を結ぶ,Động từ,Clothing,You may not tie a string into a knot.,片結びをしてはいけない。,,,,
tourism,観光旅行,Danh từ,Travel,That is a famous tourism spot.,そこは有名な観光地です。,,,,
towards,～に対して,Tiền tố,Direction,Rounding the number is towards 0.,その数字を0に向けて丸めなさい。,,,,
tradition,伝統,Danh từ,Culture,It is an old tradition.,これは古い慣習だ。,,,,
tradtional,伝統的な,Tính từ,Culture,a small traditional Japanese handball,小さい手毬,,,,
training,修行,Danh từ,Daily Routines,It requires years of training.,それには多年の修業が必要だ。,,,,
transportation,輸送、運送、 輸送機関,Danh từ,Travel,transportation expenses,交通費,,,,
tree,木,Danh từ,Nature,A tree structure is estimated for the integrated network.,統合網に木構造を想定する。,,,,
trend,傾向,Danh từ,Culture,a tendency or trend that is considered avant-garde,先進的な傾向,,,,
trousers,ズボン,Danh từ,Clothing,Mr.Brown rolled up his trousers for farm work.,ブラウンさんは、農作業をするためにズボンをまくり上げた。,,,,
turn in,提出する,Động từ,Office,You must turn in a task as soon as you can.,できるだけ早く課題を提出しなさい。,,,,
twin,双子,Danh từ,Relationship,She is a twin.,彼女は双子です。,,,,
uncle,叔父,Danh từ,Relationship,My father's brother is my uncle.,私の父の兄弟は、私のおじです。,,,,
underground,地下の,Tính từ,Travel,underground caverns,鍾乳洞,,,,
Venus,金星,Danh từ,Nature,the transit of Venus,金星の太陽面通過,,,,
voyage,旅、船旅、航海、航行、飛行,Danh từ,Travel,Bon voyage!,よい旅を!,,,,
wash,～を洗う、～を洗濯する,Động từ,Clothing,I bought a new laundry for my mother to wash my family's clothes effectively.,家族の服を効率よく洗濯するために母に新たな洗濯機を買ってあげた。,,,,
water,水,Danh từ,Nature,water flowing underground,地下水,,,,
waterfall,滝,Danh từ,Nature,a carp shooting up a waterfall,鯉の滝のぼり,,,,
wear,～を着る,Động từ,Clothing,Ms. Saito raises her hands to wear the T-shirt,斉藤さんは、Tシャツを着るために手を上げる。,,,,
weather,天気,Danh từ,Weather,What is the weather like?,どんな天気ですか?,,,,
west,西,Danh từ,Direction,The counterdirection of the east is the west.,東の反対の方角は西である。,,,,
western,西の,Tính từ,Direction,We are going to build the national museum in western city.,西部の町に国立美術館を建てる予定だ。,,,,
westernmost,最西(端)の,Tính từ,Direction,people in western Japan,西日本の人々,,,,
wet,ぬれた、湿った、湿気のある,Tính từ,Weather,to wet with tears,泣き濡れる,,,,
widowed,未亡人になった; 男やもめになった.,Tính từ,Relationship,a widowed man,やもめになった男性,,,,
windy,風の吹く、風の強い,Tính từ,Weather,There are a lot windy days lately.,最近風の強い日が多いです。,,,,
